Team Name,Country
Hienghene Sport,New Caledonia
US Forbach,France
CD Tenerife,Spain
HNK Rijeka,Croatia
FC Flora Tallinn,Estonia
CD Mirandes,Spain
England,England
Newcastle United,England
Jura Dolois Fussball,France
Sport Union Dives-Cabourg,France
US Villejuif,France
Nimes Olympique,France
Portimonense SC,Portugal
Gimnastica Segoviana,Spain
Niederlande,Netherlands
FC Astana,Kazakhstan
Burnley FC,England
FC Rouen,France
FC Metropole Troyenne,France
FC Nantes,France
Istanbul Basaksehir FK,Turkey
Inter Miami CF,United States
Avoine OCC,France
Turegano CF,Spain
Colchester United,England
Nottingham Forest FC U21,England
FC Una Strassen,Luxembourg
FCSR Haguenau,France
LB Chateauroux,France
Zamora CF,Spain
FC Dinamo Tiflis,Georgia
Entente Feignies Aulnoye FC,France
Atletic Club d'Escaldes,Andorra
FC Würzburger Kickers,Germany
RCD Mallorca,Spain
Paksi FC,Hungary
Deportivo Murcia FC,Spain
SM Caen,France
US Concarneau,France
AFC Wimbledon,England
Arandina CF,Spain
NK Maribor,Slovenia
FC Barnsley,England
SK Brann,Norway
Alfreton Town FC,England
Crystal Palace FC U21,England
Wycombe Wanderers,England
FC Blau-Weiss Linz,Austria
CP Cacereno SAD,Spain
GD Estoril Praia,Portugal
Jura Sud Foot,France
Spanien,Spain
Hannover 96,Germany
Harrogate Town,England
Sporting Kansas City,United States
Fatih Karagümrük SK,Turkey
Stjarnan Gardabae,Iceland
CD Quintanar,Spain
FC Toronto,Canada
Moreirense FC,Portugal
Manises CF,Spain
Heracles Almelo,Netherlands
ES Dolorense,Spain
CD Nacional,Portugal
Deportivo Alaves,Spain
Fortuna Sittard,Netherlands
Wrexham AFC,Wales
Molde FK,Norway
Inter Mailand,Italy
FC Bondues,France
NK Osijek,Croatia
Antalyaspor,Turkey
Slowakei,Slovakia
Österreich,Austria
SD Huesca,Spain
Real Murcia CF,Spain
Shelbourne FC,Ireland
SV Darmstadt 98,Germany
FC Ingolstadt,Germany
FK Roter Stern Belgrad,Serbia
SK Slovan Bratislava,Slovakia
Maccabi Petah Tikva FC,Israel
FC Dac 1904 Dunajska Streda,Slovakia
Le Havre AC,France
Thionville Lusitanos,France
Sheffield United FC,England
Watford FC,England
FC Schweighouse Sur Moder,France
Cherno More Varna,Bulgaria
NK Bravo,Slovenia
Noeux Les Mines,France
Jarville JF,France
Fortuna Düsseldorf,Germany
Vikingur Gota,Faroe Islands
UF Maconnais,France
Casa Pia AC,Portugal
Olympique Ales,France
KF Egnatia Rrogozhine,Albania
Jagiellonia Bialystok,Poland
Golden Lion FC,Martinique
Djurgardens IF,Sweden
Portland Timbers,United States
CE Manresa,Spain
Abha,Saudi Arabia
SD Amorebieta,Spain
UD Logrones,Spain
AS Fabregues,France
Peterborough United,England
Preston North End,England
AS Ptt Dijon,France
Ludogorets 1945 Razgrad,Bulgaria
FC Brügge,Belgium
Gimnastic de Tarragona,Spain
US Liffre,France
Saint Denis FC,France
SO Romorantin,France
FK Aqtöbe,Kazakhstan
US Quevilly-Rouen Metropole,France
B36 Torshavn,Faroe Islands
Tobol Kostanay,Kazakhstan
Real Salt Lake,United States
Stade Brestois 29,France
FC Kopenhagen,Denmark
Al-Shabab FC (SA),Saudi Arabia
SV 07 Elversberg,Germany
Alanyaspor,Turkey
FK Borac Banja Luka,Bosnia and Herzegovina
Cray Valley Paper Mills FC,England
1. FC Saarbrücken,Germany
Genua CFC,Italy
FC St Josephs,Gibraltar
Dinamo Minsk,Belarus
Schalke 04,Germany
FC Chelsea,England
Atlanta United FC,United States
FC Marbella,Spain
GNK Dinamo Zagreb,Croatia
FC Barcelona,Spain
RC Recreativo de Huelva,Spain
FC Hansa Rostock,Germany
Northampton Town,England
Aston Villa,England
SC Freiburg II,Germany
FC St. Pauli,Germany
Stoke City,England
SC Preußen 06 Münster,Germany
US Bleriot Plage,France
FC Pyunik,Armenia
FC Dinamo Batumi,Georgia
ES Thaon,France
Stade Reims,France
Maidenhead United FC,England
TA Rennes,France
Et S Fosseenne,France
US Castaneenne,France
AC Ajaccio,France
Avs Futebol Sad,Portugal
Breidablik Kopavogur,Iceland
BSC Young Boys,Switzerland
FC Ararat Armenia,Armenia
Olympique Marseille,France
UE Santa Coloma,Andorra
Tromsö IL,Norway
FC Fulham,England
Cercle Brügge,Belgium
Hyeres FC,France
UE Rubi,Spain
CS Corvinul Hunedoara,Romania
Vancouver Whitecaps FC,Canada
Burton Albion,England
CD Pradejon,Spain
Feyenoord Rotterdam,Netherlands
Stade Mayennais FC,France
Cliftonville FC,Northern Ireland
FC Lorient,France
Maidstone United FC,England
SC Dnipro-1,Ukraine
Istanbulspor AS,Turkey
FK Velez Mostar,Bosnia and Herzegovina
New England Revolution,United States
Heart of Midlothian FC,Scotland
La France D Aizenay,France
Liverpool FC,England
Fehervar FC Szekesfehervar,Hungary
FC Seyssins,France
FC Mulhouse,France
HSK Zrinjski Mostar,Bosnia and Herzegovina
GD Chaves,Portugal
JA Isle Football,France
SCR Altach,Austria
US Laon,France
US St Philbert de Grandlieu,France
Paris FC,France
Vaasan Palloseura,Finland
CF Talavera de La Reina,Spain
Bologna FC,Italy
KF Llapi,Kosovo
Panathinaikos Athen,Greece
FC Urartu,Armenia
FC Cincinnati,United States
Barakaldo CF,Spain
Inter Club de Escaldes,Andorra
FC Zimbru Chisinau,Moldova
Real Aviles CF,Spain
CD Ursaria,Spain
FK Auda Riga,Latvia
Oxford United,England
Bradford City,England
AFC Bournemouth,England
NAC Breda,Netherlands
Blackburn Rovers,England
FC Porto,Portugal
US Saint-Malo,France
Lincoln City,England
Besiktas JK,Turkey
FC Viktoria 1889 Berlin,Germany
Al-Nassr FC,Saudi Arabia
Go Ahead Eagles,Netherlands
Le Puy Foot 43 Auvergne,France
USL Dunkerque,France
Al-Taawoun,Saudi Arabia
Modena FC,Italy
FC Malaga,Spain
Slowenien,Slovenia
FC CDA Aguilas,Spain
FC Viktoria Köln,Germany
San Jose Earthquakes,United States
Entente SSG,France
CF Badalona Futur,Spain
Bala Town FC,Wales
CS Volvic,France
CD Guijuelo,Spain
Borussia Dortmund,Germany
AS Saint-Étienne,France
Manchester United,England
CE Europa,Spain
Al-Kholood,Saudi Arabia
OSC Lille,France
CD Monte,Spain
Real Sociedad,Spain
RKC Waalwijk,Netherlands
Arminia Bielefeld,Germany
SP La Fiorita,San Marino
Cadiz CF,Spain
Glasgow Rangers,Scotland
